store,name,sales,price
华为京东自营官方旗舰店,华为Mate 30 Pro 5G 8GB+128GB,3653,6399.00
华为京东自营官方旗舰店,华为Mate 30 Pro 5G 8GB+256GB,56358,6899.00
华为京东自营官方旗舰店,华为Mate 30 5G 8GB+128GB,14069,4999.00
华为京东自营官方旗舰店,华为Mate 30 5G 8GB+128GB,7375,4999.00
vivo京东自营官方旗舰店,Z5x 4GB+64GB,11777,1298.00
华为京东自营官方旗舰店,华为Mate 30 5G 8GB+128GB,0,4999.00
华为京东自营官方旗舰店,华为Mate 30 5G 8GB+128GB,20234,4999.00
vivo京东自营官方旗舰店,vivoZ5x 4GB+64GB,11777,1298.00
vivo京东自营官方旗舰店,vivoZ5x 4GB+64GB,11777,1298.00
华为京东自营官方旗舰店,华为Mate 30 Pro 5G 8GB+512GB,10335,7899.00
华为京东自营官方旗舰店,华为Mate 30 5G 8GB+256GB,9127,5499.00
华为京东自营官方旗舰店,华为Mate 30 5G 8GB+256GB,7235,5499.00
vivo京东自营官方旗舰店,Z5x 6GB+64GB,63808,1298.00
华为京东自营官方旗舰店,华为Mate 30 5G 8GB+256GB,22946,5499.00
华为京东自营官方旗舰店,华为Mate 30 5G 8GB+256GB,11215,5499.00
vivo京东自营官方旗舰店,vivoZ5x 6GB+64GB,66523,1298.00
vivo京东自营官方旗舰店,vivoZ5x 6GB+64GB,20231,1298.00
华为京东自营官方旗舰店,华为Mate 30 5G 8GB+128GB,0,4999.00
vivo京东自营官方旗舰店,vivoZ5x 4GB+64GB,11777,1298.00
荣耀京东自营旗舰店,华为神秘手机 全网通（6GB 64GB）,142425,989.00
荣耀京东自营旗舰店,华为神秘手机 全网通（6GB 64GB）,142425,989.00
荣耀京东自营旗舰店,华为荣耀20i 全网通（6GB 64GB）,142425,989.00
荣耀京东自营旗舰店,华为荣耀20i 全网通（6GB 64GB）,187803,989.00
华为京东自营官方旗舰店,华为nova 5z 6GB+64GB,28309,1399.00
荣耀京东自营旗舰店,华为荣耀20i 全网通（6GB 64GB）,119334,989.00
vivo京东自营官方旗舰店,Z5x 6GB+128GB,39340,1398.00
vivo京东自营官方旗舰店,vivoZ5x 6GB+128GB,95110,1398.00
vivo京东自营官方旗舰店,vivoZ5x 6GB+128GB,33351,1398.00
华为京东自营官方旗舰店,华为Mate 30 5G 8GB+256GB,4276,5499.00
vivo京东自营官方旗舰店,vivoZ5x 6GB+64GB,63808,1298.00
荣耀京东自营旗舰店,华为神秘手机 全网通（4GB 128GB）,16942,1289.00
荣耀京东自营旗舰店,华为神秘手机 全网通（4GB 128GB）,16942,1289.00
荣耀京东自营旗舰店,华为荣耀20i 全网通（4GB 128GB）,16942,1289.00
荣耀京东自营旗舰店,华为荣耀20i 全网通（4GB 128GB）,22219,1289.00
华为京东自营官方旗舰店,华为nova 5z 6GB+128GB,9529,1599.00
华为京东自营官方旗舰店,华为nova 5z 6GB+64GB,31339,1399.00
华为京东自营官方旗舰店,华为nova 5z 6GB+64GB,79812,1399.00
荣耀京东自营旗舰店,华为荣耀20i 全网通（4GB 128GB）,17960,1289.00
vivo京东自营官方旗舰店,Z5x 8GB+128GB,13114,1698.00
vivo京东自营官方旗舰店,vivoZ5x 8GB+128GB,25395,1698.00
vivo京东自营官方旗舰店,vivoZ5x 8GB+128GB,8683,1698.00
vivo京东自营官方旗舰店,vivoZ5x 6GB+128GB,48880,1398.00
荣耀京东自营旗舰店,华为荣耀Magic2 全网通（6GB 128GB）,61871,1789.00
荣耀京东自营旗舰店,华为荣耀Magic2 全网通（6GB 128GB）,27891,1689.00
荣耀京东自营旗舰店,华为荣耀Magic2 全网通（6GB 128GB）,37818,1789.00
