store,name,sales,price
vivo官方旗舰店,vivoZ5x,20000,"1198.00
"
京合旗舰店,Huawei/华为畅享10plus,3267,"1199.00
"
vivo官方旗舰店,vivoZ5x,20000,"1198.00
"
华为官方旗舰店,Huawei/华为Mate30Pro5G,30000,"6399.00
"
vivo官方旗舰店,vivoiQOOPro5G,6500,"3298.00
"
小米官方旗舰店,红米8A,20000,"599.00
"
华为官方旗舰店,Huawei/华为Mate305G,20000,"4999.00
"
喜洋洋工作屋,Apple/苹果iPhone7PlusiPhone7,10000,"2160.00
"
樱公爵,Apple/苹果iPhone8Plus,2143,"1970.00
"
苏宁易购官方旗舰店,Huawei/华为P30,2212,"3388.00
"
苏宁易购官方旗舰店,Apple/苹果iPhone11,20000,"5499.00
"
绿森数码官方旗舰店,Apple/苹果iPhone112019,4883,"5499.00
"
洋桃旗舰店,Apple/苹果AppleiPhone11,30000,"5499.00
"
小米官方旗舰店,红米k20pro,10000,"2799.00
"
oppo官方旗舰店,OPPOK5,10000,"1799.00
"
oppo官方旗舰店,OPPOReno3,2794,"3399.00
"
洋桃旗舰店,Apple/苹果AppleiPhone11proMax,1527,"10899.00
"
魅族官方旗舰店,Meizu/魅族16sPro,3172,"2689.00
"
翼天下天翼电信旗舰店,Apple/苹果iPhone11,199,"5149.00
"
绿森数码官方旗舰店,Apple/苹果iPhone11ProMAX2019,970,"9599.00
"
京合旗舰店,Huawei/华为nova5Pro,4096,"2499.00
"
vivo衡视专卖店,vivoX305G,963,"3298.00
"
广东电信亿品汇专卖店,Xiaomi/小米小米99plus,1932,"2399.00
"
亦儿手机店,Apple/苹果iPhoneXiphonex,1707,"3400.00
"
中国电信官方旗舰店,Apple/苹果iPhone11,182,"5149.00
"
t_1497275927126_0366,honor/荣耀荣耀V30PRO5G,7,"3139.00
"
喜洋洋工作屋,Apple/苹果iPhone8Plus,9500,"2600.00
"
realme官方旗舰店,realme真我X26400,3766,"1299.00
"
一加创华威专卖店,一加7t,1415,"3199.00
"
一加创华威专卖店,一加7Pro,1781,"3499.00
"
vivo航鹰专卖店,vivoX305G,653,"3298.00
"
博盛景数码专营店,Apple/苹果iPhone11,652,"5048.00
"
坚果手机旗舰店,锤子坚果Pro3,1972,"2399.00
"
京联通达数码旗舰店,Huawei/华为nova65G,713,"3199.00
"
vivo官方旗舰店,vivoZ5x,20000,"1198.00
"
华为官方旗舰店,Huawei/华为Mate30Pro5G,30000,"6399.00
"
vivo官方旗舰店,vivoZ5x,20000,"1198.00
"
小米官方旗舰店,红米k305G,0,"2599.00
"
喜洋洋工作屋,Apple/苹果iPhone7PlusiPhone7,10000,"2160.00
"
小米官方旗舰店,红米8A,20000,"599.00
"
华为官方旗舰店,Huawei/华为Mate305G,20000,"4999.00
"
樱公爵,Apple/苹果iPhone8Plus,2143,"1970.00
"
苏宁易购官方旗舰店,Huawei/华为P30,2212,"3388.00
"
