store,name,sales,price
荣耀京东自营旗舰店,荣耀20S 128G,94928,1489
荣耀京东自营旗舰店,荣耀20S 128G,6758,1989
vivo京东自营官方旗舰店,vivoZ5x 64G,11779,1298
荣耀京东自营旗舰店,荣耀20i 64G,188910,989
vivo京东自营官方旗舰店,vivoZ5x 64G,63903,1298
荣耀京东自营旗舰店,荣耀20i 64G,119780,989
荣耀京东自营旗舰店,荣耀20i 64G,143331,989
vivo京东自营官方旗舰店,vivoZ5x 64G,11779,1298
荣耀京东自营旗舰店,荣耀20i 128G,22233,1289
OPPO京东自营官方旗舰店,OPPOK5 128G,6238,1799
vivo京东自营官方旗舰店,vivoZ5x 128G,49185,1398
荣耀京东自营旗舰店,荣耀20i 128G,17967,1289
荣耀京东自营旗舰店,荣耀20i 128G,16950,1289
vivo京东自营官方旗舰店,vivoZ5x 64G,20284,1298
荣耀京东自营旗舰店,荣耀20i 128G,91772,1289
OPPO京东自营官方旗舰店,OPPOK5 128G,5632,1999
OPPO京东自营官方旗舰店,OPPOK5 128G,15423,1799
OPPO京东自营官方旗舰店,OPPOK5 128G,32962,1799
OPPO京东自营官方旗舰店,OPPORenoAce 128G,15794,2999
OPPO京东自营官方旗舰店,OPPORenoAce 128G,15794,2999
OPPO京东自营官方旗舰店,OPPORenoAce 128G,27989,2999
vivo京东自营官方旗舰店,vivoZ5x 128G,25545,1698
荣耀京东自营旗舰店,荣耀20i 128G,49951,1289
荣耀京东自营旗舰店,荣耀20i 128G,50056,1289
vivo京东自营官方旗舰店,vivoZ5x 128G,33414,1398
荣耀京东自营旗舰店,荣耀20i 256G,12805,1789
OPPO京东自营官方旗舰店,OPPOK5 256G,2199,2499
OPPO京东自营官方旗舰店,OPPOK5 128G,12268,1999
OPPO京东自营官方旗舰店,OPPOK5 128G,21353,1999
OPPO京东自营官方旗舰店,OPPORenoAce 256G,12878,3199
OPPO京东自营官方旗舰店,OPPORenoAce 256G,6363,3599
OPPO京东自营官方旗舰店,OPPORenoAce 256G,22816,3199
荣耀京东自营旗舰店,荣耀20i 256G,10399,1789
荣耀京东自营旗舰店,荣耀20i 256G,12090,1789
vivo京东自营官方旗舰店,vivoZ5x 128G,8695,1698
OPPO京东自营官方旗舰店,OPPOK5 256G,1254,2499
OPPO京东自营官方旗舰店,OPPOK5 256G,2199,2499
OPPO京东自营官方旗舰店,OPPORenoAce 256G,2654,3799
OPPO京东自营官方旗舰店,OPPORenoAce 256G,2654,3799
OPPO京东自营官方旗舰店,OPPORenoAce 256G,3734,3799
vivo京东自营官方旗舰店,vivoU3x 32G,6386,749
vivo京东自营官方旗舰店,vivoU3x 64G,3447,899
realme真我京东自营旗舰店,realmeX2 64G,10110,1499
realme真我京东自营旗舰店,realmeX2 64G,13862,1499
realme真我京东自营旗舰店,realmeX2 64G,10110,1499
vivo京东自营官方旗舰店,vivoU3x 64G,27063,999
realme真我京东自营旗舰店,realmeX2 128G,4863,1599
realme真我京东自营旗舰店,realmeX2 128G,7295,1799
realme真我京东自营旗舰店,realmeX2 128G,4863,1599
realme真我京东自营旗舰店,realmeX2 128G,1952,1899
realme真我京东自营旗舰店,realmeX2 128G,25011,1899
realme真我京东自营旗舰店,realmeX2 128G,23486,1899
vivo京东自营官方旗舰店,vivoiQOOPro 128G,1420,3498
vivo京东自营官方旗舰店,vivoiQOOPro5G 128G,6308,3498
vivo京东自营官方旗舰店,vivoiQOOPro5G 128G,19602,3498
vivo京东自营官方旗舰店,vivoiQOOPro 256G,457,3698
vivo京东自营官方旗舰店,vivoiQOOPro5G 256G,1099,3698
vivo京东自营官方旗舰店,vivoiQOOPro5G 256G,6007,3698
荣耀京东自营旗舰店,荣耀V20 128G,76355,1689
vivo京东自营官方旗舰店,vivoiQOOPro 128G,8149,3798
vivo京东自营官方旗舰店,vivoiQOOPro5G 128G,9847,3798
vivo京东自营官方旗舰店,vivoiQOOPro5G 128G,38338,3798
荣耀京东自营旗舰店,荣耀V20 128G,0,2399
realme真我京东自营旗舰店,realmeQ 64G,16322,998
荣耀京东自营旗舰店,荣耀V20 256G,17081,2389
Apple产品京东自营旗舰店,AppleiPhone8Plus 64G,633880,4199
Apple产品京东自营旗舰店,AppleiPhone8Plus 64G,244281,4199
OPPO京东自营官方旗舰店,OPPOA11 128G,3747,1299
Apple产品京东自营旗舰店,AppleiPhone8Plus 64G,595986,4199
realme真我京东自营旗舰店,realmeQ 64G,11681,1298
OPPO京东自营官方旗舰店,OPPOA11 128G,3747,1299
OPPO京东自营官方旗舰店,OPPOA11 128G,2082,1299
Apple产品京东自营旗舰店,AppleiPhone8Plus 128G,6801,4999
Apple产品京东自营旗舰店,AppleiPhone8Plus 128G,3541,4899
OPPO京东自营官方旗舰店,OPPOA11 256G,901,1599
Apple产品京东自营旗舰店,AppleiPhone8Plus 128G,7411,4899
OPPO京东自营官方旗舰店,OPPOA11 128G,3747,1299
realme真我京东自营旗舰店,realmeQ 128G,8223,1598
OPPO京东自营官方旗舰店,OPPOA11 256G,1068,1599
Apple产品京东自营旗舰店,AppleiPhoneXS 64G,54383,5399
Apple产品京东自营旗舰店,AppleiPhoneXS 64G,75709,5399
Apple产品京东自营旗舰店,AppleiPhone8Plus 256G,104277,5599
Apple产品京东自营旗舰店,AppleiPhone8Plus 256G,53549,5599
OPPO京东自营官方旗舰店,OPPOA11 128G,412,1499
Apple产品京东自营旗舰店,AppleiPhone8Plus 256G,96613,5599
OPPO京东自营官方旗舰店,OPPOA11 256G,1068,1599
OPPO京东自营官方旗舰店,OPPOA11 128G,355,1499
Apple产品京东自营旗舰店,AppleiPhoneXS 256G,41138,6399
Apple产品京东自营旗舰店,AppleiPhoneXS 64G,77063,5399
Apple产品京东自营旗舰店,AppleiPhoneXS 256G,53199,6499
