store,name,sales,price
荣耀京东自营旗舰店,华为荣耀20S#全网通（6GB 128GB）,94928,1489.00
荣耀京东自营旗舰店,华为荣耀20S#全网通（8GB 128GB）,6758,1989.00
vivo京东自营官方旗舰店,vivoZ5x#4GB+64GB,11779,1298.00
vivo京东自营官方旗舰店,Z5x#4GB+64GB,11779,1298.00
荣耀京东自营旗舰店,华为荣耀20i#全网通（6GB 64GB）,188910,989.00
vivo京东自营官方旗舰店,vivoZ5x#6GB+64GB,63903,1298.00
荣耀京东自营旗舰店,华为神秘手机#全网通（6GB 64GB）,143331,989.00
vivo京东自营官方旗舰店,Z5x#6GB+64GB,66678,1298.00
荣耀京东自营旗舰店,华为荣耀20i#全网通（6GB 64GB）,119780,989.00
荣耀京东自营旗舰店,华为荣耀20i#全网通（6GB 64GB）,143331,989.00
vivo京东自营官方旗舰店,vivoZ5x#4GB+64GB,11779,1298.00
荣耀京东自营旗舰店,华为神秘手机#全网通（6GB 64GB）,143331,989.00
vivo京东自营官方旗舰店,Z5x#4GB+64GB,11779,1298.00
荣耀京东自营旗舰店,华为荣耀20i#全网通（4GB 128GB）,22233,1289.00
OPPO京东自营官方旗舰店,OPPOK5#6GB+128GB,6238,1799.00
vivo京东自营官方旗舰店,vivoZ5x#6GB+128GB,49185,1398.00
荣耀京东自营旗舰店,华为神秘手机#全网通（4GB 128GB）,16950,1289.00
vivo京东自营官方旗舰店,Z5x#6GB+128GB,95794,1398.00
荣耀京东自营旗舰店,华为荣耀20i#全网通（4GB 128GB）,17967,1289.00
荣耀京东自营旗舰店,华为荣耀20i#全网通（4GB 128GB）,16950,1289.00
vivo京东自营官方旗舰店,vivoZ5x#6GB+64GB,20284,1298.00
荣耀京东自营旗舰店,华为神秘手机#全网通（4GB 128GB）,16950,1289.00
vivo京东自营官方旗舰店,Z5x#6GB+64GB,63903,1298.00
荣耀京东自营旗舰店,华为荣耀20i#全网通（6GB 128GB）,91772,1289.00
OPPO京东自营官方旗舰店,OPPOK5#8GB+128GB,5632,1999.00
OPPO京东自营官方旗舰店,OPPOK5#6GB+128GB,15423,1799.00
OPPO京东自营官方旗舰店,OPPOK5#6GB+128GB,32962,1799.00
华为京东自营官方旗舰店,华为HUAWEI Mate 30 Pro 5G#8GB+128GB,2227,6399.00
华为京东自营官方旗舰店,华为Mate 30 Pro 5G#8GB+128GB,1085,6399.00
OPPO京东自营官方旗舰店,OPPOReno Ace#8GB+128GB,15794,2999.00
OPPO京东自营官方旗舰店,OPPOReno Ace#8GB+128GB,15794,2999.00
OPPO京东自营官方旗舰店,OPPOReno Ace#8GB+128GB,27989,2999.00
vivo京东自营官方旗舰店,vivoZ5x#8GB+128GB,25545,1698.00
荣耀京东自营旗舰店,华为神秘手机#全网通（6GB 128GB）,50056,1289.00
vivo京东自营官方旗舰店,Z5x#8GB+128GB,25545,1698.00
荣耀京东自营旗舰店,华为荣耀20i#全网通（6GB 128GB）,49951,1289.00
荣耀京东自营旗舰店,华为荣耀20i#全网通（6GB 128GB）,50056,1289.00
vivo京东自营官方旗舰店,vivoZ5x#6GB+128GB,33414,1398.00
荣耀京东自营旗舰店,华为神秘手机#全网通（6GB 128GB）,50056,1289.00
vivo京东自营官方旗舰店,Z5x#6GB+128GB,39585,1398.00
荣耀京东自营旗舰店,华为荣耀20i#全网通（6GB 256GB）,12805,1789.00
华为京东自营官方旗舰店,华为nova 5z#6GB+64GB,28518,1399.00
OPPO京东自营官方旗舰店,OPPOK5#8GB+256GB,2199,2499.00
OPPO京东自营官方旗舰店,OPPOK5#8GB+128GB,12268,1999.00
OPPO京东自营官方旗舰店,OPPOK5#8GB+128GB,21353,1999.00
华为京东自营官方旗舰店,华为HUAWEI Mate 30 Pro 5G#8GB+256GB,0,6899.00
华为京东自营官方旗舰店,华为Mate 30 Pro 5G#8GB+256GB,0,6899.00
OPPO京东自营官方旗舰店,OPPOReno Ace#8GB+256GB,12878,3199.00
OPPO京东自营官方旗舰店,OPPOReno Ace#8GB+256GB,6363,3599.00
OPPO京东自营官方旗舰店,OPPOReno Ace#8GB+256GB,22816,3199.00
荣耀京东自营旗舰店,华为神秘手机#全网通（6GB 256GB）,52,1799.00
荣耀京东自营旗舰店,华为荣耀20i#全网通（6GB 256GB）,10399,1789.00
荣耀京东自营旗舰店,华为荣耀20i#全网通（6GB 256GB）,12090,1789.00
vivo京东自营官方旗舰店,vivoZ5x#8GB+128GB,8695,1698.00
荣耀京东自营旗舰店,华为神秘手机#全网通（6GB 256GB）,59,1799.00
vivo京东自营官方旗舰店,Z5x#8GB+128GB,13179,1698.00
华为京东自营官方旗舰店,华为nova 5z#6GB+64GB,31598,1399.00
华为京东自营官方旗舰店,华为nova 5z#6GB+128GB,9832,1599.00
华为京东自营官方旗舰店,华为nova 5z#6GB+64GB,80091,1399.00
华为京东自营官方旗舰店,华为Mate 30 5G#8GB+128GB,7490,4999.00
华为京东自营官方旗舰店,华为Mate 30 5G#8GB+128GB,0,4999.00
华为京东自营官方旗舰店,华为Mate 30 5G#8GB+128GB,0,4999.00
华为京东自营官方旗舰店,华为Mate 30 5G#8GB+128GB,20476,4999.00
OPPO京东自营官方旗舰店,OPPOK5#8GB+256GB,1254,2499.00
OPPO京东自营官方旗舰店,OPPOK5#8GB+256GB,2199,2499.00
华为京东自营官方旗舰店,华为HUAWEI Mate 30 Pro 5G#8GB+512GB,5567,7899.00
华为京东自营官方旗舰店,华为Mate 30 Pro 5G#8GB+512GB,0,7899.00
OPPO京东自营官方旗舰店,OPPOReno Ace#12GB+256GB,2654,3799.00
OPPO京东自营官方旗舰店,OPPOReno Ace#12GB+256GB,2654,3799.00
OPPO京东自营官方旗舰店,OPPOReno Ace#12GB+256GB,3734,3799.00
华为京东自营官方旗舰店,华为nova 5z#6GB+128GB,9832,1599.00
vivo京东自营官方旗舰店,vivoU3x#3GB+32GB,6386,749.00
华为京东自营官方旗舰店,华为Mate 30 5G#8GB+128GB,14264,4999.00
华为京东自营官方旗舰店,华为nova 5z#6GB+128GB,9832,1599.00
华为京东自营官方旗舰店,华为Mate 30 5G#8GB+256GB,7329,5499.00
华为京东自营官方旗舰店,华为Mate 30 5G#8GB+256GB,4363,5499.00
华为京东自营官方旗舰店,华为Mate 30 5G#8GB+256GB,0,5499.00
华为京东自营官方旗舰店,华为Mate 30 5G#8GB+256GB,11375,5499.00
vivo京东自营官方旗舰店,vivoU3x#3GB+64GB,3447,899.00
华为京东自营官方旗舰店,华为Mate 30 5G#8GB+256GB,9292,5499.00
华为京东自营官方旗舰店,华为畅享 9S#4GB+64GB,19070,999.00
realme真我京东自营旗舰店,realmeX2#6GB+64GB,10110,1499.00
realme真我京东自营旗舰店,realmeX2#6GB+64GB,13862,1499.00
realme真我京东自营旗舰店,realmeX2#6GB+64GB,10110,1499.00
华为京东自营官方旗舰店,华为P30 Pro#8GB+128GB,3552,4488.00
华为京东自营官方旗舰店,华为P30 Pro#8GB+128GB,1891,4988.00
华为京东自营官方旗舰店,华为P30 Pro#8GB+128GB,14437,4488.00
华为京东自营官方旗舰店,华为畅享9 Plus#4GB+64GB,41822,999.00
vivo京东自营官方旗舰店,vivoU3x#4GB+64GB,27063,999.00
华为京东自营官方旗舰店,华为畅享 9S#6GB+64GB,142357,1099.00
realme真我京东自营旗舰店,realmeX2#6GB+128GB,4863,1599.00
realme真我京东自营旗舰店,realmeX2#6GB+128GB,7295,1799.00
realme真我京东自营旗舰店,realmeX2#6GB+128GB,4863,1599.00
华为京东自营官方旗舰店,华为P30 Pro#8GB+256GB,55190,4988.00
华为京东自营官方旗舰店,华为P30 Pro#8GB+256GB,55190,4988.00
华为京东自营官方旗舰店,华为畅享9 Plus#4GB+64GB,175525,999.00
华为京东自营官方旗舰店,华为P30 Pro#8GB+256GB,9937,4988.00
华为京东自营官方旗舰店,华为畅享9 Plus#4GB+64GB,108406,1299.00
华为京东自营官方旗舰店,华为畅享9 Plus#4GB+128GB,17083,1299.00
华为京东自营官方旗舰店,华为畅享9 Plus#4GB+64GB,93069,999.00
小米京东自营旗舰店,小米MAX3#4GB+64GB,51174,999.00
小米京东自营旗舰店,小米Max3#6GB+128GB,36520,1299.00
小米京东自营旗舰店,小米Max3#4GB+64GB,51174,999.00
华为京东自营官方旗舰店,华为畅享 9S#4GB+128GB,17580,1399.00
realme真我京东自营旗舰店,realmeX2#8GB+128GB,1952,1899.00
realme真我京东自营旗舰店,realmeX2#8GB+128GB,25011,1899.00
realme真我京东自营旗舰店,realmeX2#8GB+128GB,23486,1899.00
华为京东自营官方旗舰店,华为P30 Pro#8GB+512GB,9091,5788.00
华为京东自营官方旗舰店,华为P30 Pro#8GB+512GB,9091,5788.00
华为京东自营官方旗舰店,华为畅享9 Plus#4GB+128GB,50851,1299.00
,华为nova 5i Pro#6GB+128GB,25960,1799.00
华为京东自营官方旗舰店,华为P30 Pro#8GB+512GB,2184,5788.00
华为京东自营官方旗舰店,华为畅享9 Plus#4GB+128GB,39727,1299.00
华为京东自营官方旗舰店,华为畅享9 Plus#6GB+128GB,8806,1699.00
华为京东自营官方旗舰店,华为畅享9 Plus#4GB+128GB,18580,1299.00
小米京东自营旗舰店,小米MAX3#6GB+128GB,29436,1299.00
小米京东自营旗舰店,小米Max3#4GB+64GB,29947,999.00
小米京东自营旗舰店,小米Max3#6GB+128GB,60080,1299.00
华为京东自营官方旗舰店,华为nova 5i Pro#6GB+128GB,23879,1799.00
华为京东自营官方旗舰店,华为nova 5i Pro#6GB+128GB,35841,1799.00
vivo京东自营官方旗舰店,vivoiQOO Pro#8GB+128GB,1420,3498.00
vivo京东自营官方旗舰店,vivoiQOO Pro 5G#8GB+128GB,6308,3498.00
vivo京东自营官方旗舰店,vivoiQOO Pro 5G#8GB+128GB,19602,3498.00
联想手机京东自营官方旗舰店,联想Lenovo Z6#6GB+64GB,2935,1098.00
华为京东自营官方旗舰店,华为畅享9 Plus#6GB+128GB,26576,1699.00
,华为nova 5i Pro#8GB+128GB,10719,2099.00
华为京东自营官方旗舰店,华为畅享9 Plus#6GB+128GB,19058,1699.00
华为京东自营官方旗舰店,华为畅享9 Plus#6GB+128GB,13472,1699.00
华为京东自营官方旗舰店,华为nova 5i Pro#8GB+128GB,9417,2099.00
华为京东自营官方旗舰店,华为nova 5i Pro#8GB+128GB,11478,2099.00
vivo京东自营官方旗舰店,vivoiQOO Pro#8GB+256GB,457,3698.00
vivo京东自营官方旗舰店,vivoiQOO Pro 5G#8GB+256GB,1099,3698.00
vivo京东自营官方旗舰店,vivoiQOO Pro 5G#8GB+256GB,6007,3698.00
联想手机京东自营官方旗舰店,联想Lenovo Z6#6GB+128GB,4551,1098.00
荣耀京东自营旗舰店,华为荣耀V20#全网通（6GB 128GB）,76355,1689.00
,华为畅享9#4GB+64GB,26068,899.00
,华为nova 5i Pro#8GB+256GB,3387,2399.00
华为京东自营官方旗舰店,华为nova 5i Pro#8GB+256GB,3871,2399.00
华为京东自营官方旗舰店,华为nova 5i Pro#8GB+256GB,4009,2399.00
vivo京东自营官方旗舰店,vivoiQOO Pro#12GB+128GB,8149,3798.00
vivo京东自营官方旗舰店,vivoiQOO Pro 5G#12GB+128GB,9847,3798.00
vivo京东自营官方旗舰店,vivoiQOO Pro 5G#12GB+128GB,38338,3798.00
联想手机京东自营官方旗舰店,联想Lenovo Z6#8GB+128GB,4260,1399.00
荣耀京东自营旗舰店,华为荣耀V20#全网通（8GB 128GB）,0,2399.00
,华为畅享9#4GB+128GB,5787,999.00
realme真我京东自营旗舰店,realmeQ#4GB+64GB,16322,998.00
荣耀京东自营旗舰店,华为荣耀V20#全网通（8GB 256GB）,17081,2389.00
Apple产品京东自营旗舰店,AppleiPhone 8 Plus#64GB,633880,4199.00
Apple产品京东自营旗舰店,AppleiPhone 8 Plus#64GB,244281,4199.00
OPPO京东自营官方旗舰店,OPPOA11#4GB+128GB,3747,1299.00
Apple产品京东自营旗舰店,AppleiPhone 8 Plus#64GB,595986,4199.00
realme真我京东自营旗舰店,realmeQ#6GB+64GB,11681,1298.00
OPPO京东自营官方旗舰店,OPPOA11#4GB+128GB,3747,1299.00
OPPO京东自营官方旗舰店,OPPOA11#4GB+128GB,2082,1299.00
Apple产品京东自营旗舰店,AppleiPhone 8 Plus#128GB,6801,4999.00
Apple产品京东自营旗舰店,AppleiPhone 8 Plus#128GB,3541,4899.00
OPPO京东自营官方旗舰店,OPPOA11#6GB+256GB,901,1599.00
Apple产品京东自营旗舰店,AppleiPhone 8 Plus#128GB,7411,4899.00
OPPO京东自营官方旗舰店,OPPOA11#4GB+128GB,3747,1299.00
realme真我京东自营旗舰店,realmeQ#8GB+128GB,8223,1598.00
OPPO京东自营官方旗舰店,OPPOA11#6GB+256GB,1068,1599.00
华为京东自营官方旗舰店,华为畅享10 Plus#4GB+128GB,1650,1499.00
