store,name,sales,price
vivo官方旗舰店,vivoZ5x,20000,1198
京合旗舰店,Huawei/华为畅享10plus,3267,1199
vivo官方旗舰店,vivoZ5x,20000,1198
华为官方旗舰店,Huawei/华为Mate30Pro5G,30000,6399
vivo官方旗舰店,vivoiQOOPro5G,6500,3298
小米官方旗舰店,红米8A,20000,599
华为官方旗舰店,Huawei/华为Mate305G,20000,4999
喜洋洋工作屋,Apple/苹果iPhone7Plus,10000,2160
樱公爵,Apple/苹果iPhone8Plus,2143,1970
苏宁易购官方旗舰店,Huawei/华为P30,2212,3388
苏宁易购官方旗舰店,Apple/苹果iPhone11,20000,5499
绿森数码官方旗舰店,Apple/苹果iPhone112019,4883,5499
洋桃旗舰店,Apple/苹果iPhone11,30000,5499
小米官方旗舰店,红米k20pro,10000,2799
oppo官方旗舰店,OPPOK5,10000,1799
oppo官方旗舰店,OPPOReno3,2794,3399
洋桃旗舰店,Apple/苹果iPhone11proMax,1527,10899
魅族官方旗舰店,Meizu/魅族16sPro,3172,2689
翼天下天翼电信旗舰店,Apple/苹果iPhone11,199,5149
绿森数码官方旗舰店,Apple/苹果iPhone11ProMAX2019,970,9599
京合旗舰店,Huawei/华为nova5Pro,4096,2499
vivo衡视专卖店,vivoX305G,963,3298
广东电信亿品汇专卖店,Xiaomi/小米99plus,1932,2399
亦儿手机店,Apple/苹果iPhoneXiphonex,1707,3400
中国电信官方旗舰店,Apple/苹果iPhone11,182,5149
t_1497275927126_0366,honor/荣耀V30PRO5G,7,3139
喜洋洋工作屋,Apple/苹果iPhone8Plus,9500,2600
realme官方旗舰店,realme真我X26400,3766,1299
一加创华威专卖店,一加7t,1415,3199
一加创华威专卖店,一加7Pro,1781,3499
vivo航鹰专卖店,vivoX305G,653,3298
博盛景数码专营店,Apple/苹果iPhone11,652,5048
坚果手机旗舰店,锤子坚果Pro3,1972,2399
京联通达数码旗舰店,Huawei/华为nova65G,713,3199
vivo官方旗舰店,vivoZ5x,20000,1198
华为官方旗舰店,Huawei/华为Mate30Pro5G,30000,6399
vivo官方旗舰店,vivoZ5x,20000,1198
小米官方旗舰店,红米k305G,0,2599
喜洋洋工作屋,Apple/苹果iPhone7Plus,10000,2160
小米官方旗舰店,红米8A,20000,599
华为官方旗舰店,Huawei/华为Mate305G,20000,4999
樱公爵,Apple/苹果iPhone8Plus,2143,1970
苏宁易购官方旗舰店,Huawei/华为P30,2212,3388
苏宁易购官方旗舰店,Apple/苹果iPhone11,20000,5499
vivo官方旗舰店,vivoiQOOPro5G,6500,3298
绿森数码官方旗舰店,Apple/苹果iPhone112019,4883,5499
洋桃旗舰店,Apple/苹果iPhone11,30000,5499
oppo官方旗舰店,OPPOK5,10000,1799
oppo官方旗舰店,OPPOReno3,2794,3399
魅族官方旗舰店,Meizu/魅族16sPro,3172,2689
洋桃旗舰店,Apple/苹果iPhone11proMax,1527,10899
翼天下天翼电信旗舰店,Apple/苹果iPhone11,199,5149
绿森数码官方旗舰店,Apple/苹果iPhone11ProMAX2019,970,9599
京合旗舰店,Huawei/华为nova5Pro,4096,2499
广东电信亿品汇专卖店,Xiaomi/小米99plus,1932,2399
